fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct,position,contract_month
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,LITE US,LUMENTUM HOLDINGS INC,USD,117000.0,108358380.0,5.8,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,2383,台光電,NTD,445000.0,2743425000.0,4.59,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,3037,欣興,NTD,2600000.0,2652000000.0,4.43,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,009150 KS,Samsung Electro-Mechanics co(009150 ks),KRW,70000.0,109690000000.0,4.14,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,6981 JP,MURATA MANUFACTURING CO LTD,JPY,1350000.0,11117250000.0,3.74,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,MU US,MICRON TECHNOLOGY INC,USD,70000.0,68016200.0,3.64,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),USD,130000.0,66870700.0,3.58,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,285A JP,KIOXIA HOLDINGS CORP,JPY,180000.0,9673200000.0,3.25,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,CRDO US,CREDO TECHNOLOGY GROUP HOLDI,USD,225000.0,58477500.0,3.13,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,2454,聯發科,NTD,445000.0,1873450000.0,3.13,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,PANW US,PALO ALTO NETWORKS INC,USD,150000.0,57640500.0,3.08,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,TSEM US,TOWER SEMICONDUCTOR LTD,USD,216825.0,57562701.0,3.08,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,6223,旺矽,NTD,242000.0,1558480000.0,2.61,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,STX US,SEAGATE TECHNOLOGY,USD,50000.0,48672000.0,2.6,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,2330,台積電,NTD,650000.0,1556750000.0,2.6,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,BE US,BLOOM ENERGY CORP- A,USD,210000.0,48287400.0,2.58,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,MRVL US,MARVELL TECHNOLOGY INC,USD,205000.0,45514100.0,2.44,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),USD,130000.0,42759600.0,2.29,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,WDC US,WESTERN DIGITAL CORP,USD,80000.0,40704000.0,2.18,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,6871 JP,MICRONICS JAPAN CO LTD,JPY,370000.0,5557400000.0,1.87,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,SNDK US,SANDISK CORP,USD,21000.0,34463310.0,1.84,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,2308,台達電,NTD,580000.0,1093300000.0,1.83,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,NOW US,SERVICENOW INC,USD,270000.0,33480000.0,1.79,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,CNH,1749879.0,225891880.11,1.79,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,PLTR US,PALANTIR TECHNOLOGIES INC-A,USD,180000.0,31327200.0,1.68,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,6976 JP,TAIYO YUDEN CO LTD,JPY,450000.0,4956750000.0,1.67,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,COHR US,COHERENT INC,USD,95000.0,30953850.0,1.66,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,IFX GY,INFINEON TECHNOLOGIES AG,EUR,425000.0,26235250.0,1.62,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,2327,國巨*,NTD,1550000.0,964100000.0,1.61,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,3711,日月光投控,NTD,1350000.0,831600000.0,1.39,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,6997 JP,NIPPON CHEMI-CON CORP,JPY,1275100.0,4035691500.0,1.36,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,MPWR US,MONOLITHIC POWER SYSTEMS INC,USD,18000.0,25236180.0,1.35,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,AMAT US,APPLIED MATERIALS INC,USD,48000.0,24344640.0,1.3,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,LMT US,LOCKHEED MARTIN CORP,USD,38000.0,23129840.0,1.24,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,TER US,TERADYNE INC,USD,55000.0,23033450.0,1.23,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,SPCX US,SPACE EXPLORATION TECHN-CL A,USD,160000.0,22400000.0,1.2,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,3017,奇鋐,NTD,215000.0,695525000.0,1.16,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,FORM US,FORMFACTOR INC,USD,150454.0,19799746.4,1.06,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,301377 CH,GUANGDONG DTECH TECHNOLOGY-A,CNH,291988.0,130752226.4,1.04,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,6787 JP,MEIKO ELECTRONICS CO LTD,JPY,160000.0,2920000000.0,0.98,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,3308 HK,ZHONGJI INNOLIGHT CO LTD-H,HKD,110000.0,129140000.0,0.88,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,NET US,CLOUDFLARE INC - CLASS A,USD,45000.0,14210100.0,0.76,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,TWLO US,TWILIO INC - A,USD,55000.0,13101000.0,0.7,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,AIXA GY,AIXTRON SE,EUR,200000.0,8254000.0,0.51,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,AEHR US,AEHR TEST SYSTEMS,USD,70000.0,9384200.0,0.5,,
2026-08-17T19:43:56+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-08-14,2026-08-17T16:36:36,ST,4979,華星光,NTD,450000.0,234900000.0,0.39,,
